,populacao,pop_ate9,pop_de10a14,pop_de15a19,pop_de20a24,pop_de25a34,pop_de35a49,pop_de50a59,pop_mais_de60,pop_alvo,domicilios_a1,domicilios_a2,domicilios_b1,domicilios_b2,domicilios_c1,domicilios_c2,domicilios_d,domicilios_e,domicilios_alvo,renda_media,faturamento,potencial
0,11676,1027,483,688,800,1675,2300,1784,2919,3975,0,145,715,1242,1093,758,92,304,2102,2501.0,932515,Médio
1,27564,5131,2188,2697,2630,4810,5308,2403,2397,10118,0,0,82,506,2040,2490,827,2506,588,931.0,588833,Baixo
2,9003,883,399,597,762,1755,2076,1112,1419,3831,0,96,404,652,644,522,77,254,1152,2391.0,874200,Baixo
3,9606,1072,538,660,685,1317,2007,1341,1986,3324,114,178,393,517,945,584,137,286,1202,3727.0,912226,Médio
4,57222,7677,3774,4892,4600,8660,12272,7157,8190,20932,0,0,1089,2821,5110,5422,1073,3261,3910,1380.0,553020,Médio
5,40476,3528,1703,2564,2753,5993,8071,6022,9842,14064,290,1245,3647,3321,3289,2419,304,1059,8503,3443.0,1204467,Alto
6,24855,2427,1227,1777,1804,3730,5573,3556,4761,9303,355,759,1771,1863,1902,1155,326,424,4748,1535.0,1092081,Baixo
7,12864,1532,670,963,1076,2083,2829,1598,2113,4912,0,82,491,750,1313,1177,172,352,1323,1962.0,808554,Baixo
8,249987,32651,15949,20926,20146,37750,53090,31246,38229,90840,0,496,5246,13274,24363,22447,4564,11109,19016,1550.0,35465,Alto
9,139761,13038,5225,7432,8627,21914,32089,21058,30378,54003,13408,11668,14820,5205,3437,1841,0,3897,45101,18084.0,2915612,Alto
10,3678,384,205,306,297,520,824,501,641,1344,0,0,92,220,360,225,76,270,312,1479.0,846531,Baixo
11,14446,2013,966,1283,1109,2137,3210,1726,2002,5347,0,0,57,310,1243,1181,368,1711,367,895.0,746904,Baixo
12,25789,3340,1524,1848,2213,4614,5612,2905,3733,10226,0,0,250,1250,2460,2430,414,1447,1500,1294.0,662520,Baixo
13,44941,4477,2275,3191,3198,6325,9378,6333,9764,15703,0,353,1897,3213,4450,3726,521,1630,5463,2048.0,856901,Alto
14,19237,1795,854,1292,1347,2814,3917,2698,4520,6731,0,0,957,1413,2519,1318,187,692,2370,1944.0,851362,Médio
15,85229,6278,2608,4410,5911,14697,18262,12026,21037,32959,3669,5165,11669,6106,5289,3009,371,1853,26609,8316.0,2211985,Alto
16,60893,6812,3350,4778,4801,9037,12955,7746,11414,21992,0,494,1716,3817,6026,4216,610,3385,6027,1874.0,755073,Alto
17,43591,3815,1905,2580,2874,6564,9626,6261,9966,16190,146,690,3812,3957,3659,1882,233,1575,8605,2963.0,1182272,Alto
18,11325,1256,588,817,811,1775,2533,1456,2089,4308,0,71,473,903,1161,712,120,558,1447,2022.0,852714,Baixo
19,21055,3368,1441,1771,2131,3565,4362,1927,2490,7927,0,0,115,548,1956,2022,424,1810,663,1037.0,635348,Baixo
20,2025,282,120,155,175,460,452,207,174,912,4,52,144,104,132,132,35,92,304,2929.0,876113,Baixo
21,10441,1180,559,743,717,1608,2227,1294,2113,3835,0,111,652,749,958,681,106,419,1512,2377.0,878140,Baixo
22,1403,208,125,166,103,125,570,72,34,695,0,114,168,88,24,3,0,2,370,5876.0,935061,Médio
23,667603,122578,55935,62342,60567,86116,105316,83341,91408,191432,0,1389,11747,21237,33111,25779,4956,12944,34373,1856.0,69645,Alto
24,35428,4212,1958,2634,2594,5242,7111,4647,7030,12353,0,65,1367,2356,3513,3015,513,1278,3788,1796.0,796395,Médio
25,24737,1926,858,1295,1659,4173,5182,3284,6360,9355,345,845,2599,2474,2581,1265,162,771,6263,4283.0,1073403,Alto
26,12910,1773,805,1018,999,1985,2526,1516,2288,4511,0,18,261,640,1281,1140,229,703,919,1535.0,791170,Baixo
27,16597,2079,1011,1299,1273,2411,3502,1998,3024,5913,0,0,335,988,1755,1384,329,794,1323,1499.0,774667,Baixo
28,42277,2685,1274,2031,2895,7217,9362,6334,10479,16579,0,343,3014,5061,6387,3628,693,1684,8418,2186.0,825608,Alto
29,37544,5893,2710,3486,3170,5628,8115,3712,4830,13743,0,0,304,1607,3368,4180,732,1887,1911,1244.0,488021,Baixo
30,5621,664,303,411,421,961,1143,728,990,2104,0,18,203,381,674,477,72,221,602,1809.0,837355,Baixo
31,1442,181,112,143,124,202,374,151,155,576,0,3,45,146,159,64,8,23,194,1934.0,855182,Baixo
32,5012,382,218,282,345,759,1042,769,1215,1801,0,113,374,447,467,257,27,124,934,2927.0,912281,Baixo
33,33338,3923,1966,2517,2280,4796,7294,4280,6282,12090,0,0,488,2295,3573,2820,470,2044,2783,1425.0,702967,Baixo
34,30071,4181,1904,2330,2467,4745,6445,3647,4352,11190,0,0,248,1379,2845,3259,562,1738,1627,1221.0,621314,Baixo
35,71095,11784,5186,6566,6735,12449,14892,6445,7038,27341,0,0,288,1894,5421,7929,1768,5013,2182,1010.0,88790,Médio
36,150524,8562,3727,6383,9168,21814,27567,21858,51445,49381,5740,9218,19350,13160,10982,5482,998,5122,47468,7381.0,2384494,Alto
37,46478,5729,2893,3768,3850,7146,9369,5598,8125,16515,0,0,1047,2433,4599,4053,723,2601,3480,1480.0,645088,Médio
38,7380,837,401,525,563,1073,1511,1034,1436,2584,291,334,526,287,361,438,75,187,1438,8425.0,1041359,Médio
39,79116,11524,5711,7144,6478,12238,17705,8477,9839,29943,0,0,1032,3321,7860,7050,1914,4347,4353,1308.0,219983,Médio
40,29244,5092,2300,2869,2493,4594,5959,2937,3000,10553,0,0,123,631,2252,2624,632,2940,754,925.0,607957,Baixo
41,32069,3979,1912,2679,2492,5034,7247,3936,4790,12281,0,117,1009,2342,3345,2339,511,1041,3468,1892.0,748387,Médio
42,16051,1740,831,1140,1182,2496,3231,2052,3379,5727,0,80,588,1118,1481,1243,166,828,1786,1889.0,846146,Baixo
43,11148,1512,818,956,831,1594,2339,1391,1707,3933,0,11,203,511,916,962,177,712,725,1416.0,808624,Baixo
44,15445,1463,756,1053,1177,2272,3206,2197,3321,5478,0,169,797,1483,1418,949,167,550,2449,2342.0,916012,Médio
45,6287,775,379,537,530,997,1341,782,946,2338,0,0,121,343,627,603,89,216,464,1517.0,818442,Baixo
46,27411,3235,1634,2037,1879,4404,5649,3510,5063,10053,0,0,839,1908,2747,1885,356,1746,2747,1620.0,805559,Médio
47,46584,4626,2233,3107,3259,6866,9607,6492,10394,16473,0,572,2451,3272,4174,4040,384,1815,6295,2260.0,903559,Alto
48,43362,4830,2351,3163,3232,6691,9332,5771,7992,16023,0,549,2376,3059,3959,2559,498,2109,5984,2325.0,932007,Alto
49,17675,2246,980,1367,1462,2861,3712,2023,3024,6573,0,50,538,907,1760,1584,310,949,1495,1631.0,764380,Baixo
50,51456,2612,1241,2044,3049,8071,9582,7426,17431,17653,3253,3648,7334,4041,3677,1434,184,986,18276,10619.0,1981817,Alto
51,19984,2311,1124,1497,1642,3320,4447,2419,3224,7767,0,200,931,1243,1864,1815,304,623,2374,2125.0,796321,Médio
52,72501,7991,3709,5257,5159,10923,16875,9607,12980,27798,698,2569,6042,4941,5055,3919,704,1670,14250,1535.0,1297388,Médio
53,23620,3638,1724,2411,1922,3839,5685,2268,2133,9524,0,85,767,1083,2007,2005,348,979,1935,1740.0,684686,Médio
54,13480,1905,933,1140,1233,2195,2879,1491,1704,5074,0,0,91,480,1334,1253,240,1025,571,1133.0,736698,Baixo
55,18215,2493,1176,1521,1667,3465,4188,1868,1837,7653,32,66,286,788,2065,2199,414,540,1172,1837.0,641865,Baixo
56,16455,1210,546,869,1162,2518,3307,2575,4268,5825,1343,1173,1766,979,776,457,0,311,5261,16449.0,1430429,Alto
57,15596,455,201,889,3722,5714,3598,665,352,9312,0,0,26,104,204,279,67,149,130,1225.0,757466,Baixo
58,9935,495,254,419,634,1650,2046,1583,2854,3696,95,326,1295,1221,1218,427,39,187,2937,4011.0,1004569,Médio
59,39762,3570,1607,2310,2629,5733,8312,5731,9870,14045,737,1516,4647,2968,2333,1740,259,865,9868,6194.0,1409134,Alto
60,173,33,13,22,17,28,38,10,12,66,0,0,0,0,5,17,8,16,0,654.0,835491,Baixo
61,48475,5665,2777,3497,3435,7196,10091,6361,9453,17287,0,115,1257,2835,4290,3527,749,3968,4207,1483.0,779768,Médio
62,112994,18088,8474,10307,9069,18732,25269,10811,12244,44001,0,0,1429,4066,9306,11066,2289,7258,5495,1237.0,69304,Médio
63,16177,1516,748,1016,1174,2488,3497,2327,3411,5985,0,141,857,1464,1740,1030,87,432,2462,2336.0,897049,Médio
64,22609,2916,1390,1809,1664,3327,4721,2767,4015,8048,0,0,387,1378,2120,2394,427,1044,1765,1403.0,722087,Baixo
65,13660,911,349,571,787,2256,2922,2237,3627,5178,799,1139,2136,921,564,313,85,204,4995,9504.0,1289705,Alto
66,46989,6423,2857,3532,3436,7242,9478,5728,8293,16720,0,0,935,2417,4077,3771,849,3908,3352,1329.0,688001,Médio
67,66391,10030,4960,6307,5418,10477,14243,7205,7751,24720,0,0,597,3086,5360,6701,1278,4041,3683,1227.0,346884,Médio
68,43948,3061,1311,1957,2395,5854,8665,6344,14361,14519,4213,3432,4478,2323,2141,1369,117,1460,14446,17188.0,1962438,Alto
69,99102,9633,4743,6564,6855,14400,20477,14384,22046,34877,0,636,4874,8325,10129,6948,1222,3103,13835,2140.0,1030856,Alto
70,39500,6110,2450,3224,3863,8203,9317,3403,2930,17520,429,342,971,2016,4488,3625,716,972,3758,4313.0,493011,Alto
71,9538,1326,629,763,712,1547,1921,1108,1532,3468,0,15,161,492,633,792,197,540,668,1535.0,822849,Baixo
72,161748,24961,10376,13874,16321,32572,35693,14500,13451,68265,422,1244,3405,7984,17034,15909,3178,6837,13055,2160.0,94671,Alto
73,38908,5861,2687,3451,3777,6790,8163,3992,4187,14953,0,0,246,1113,2656,3974,795,3254,1359,1023.0,527702,Baixo
74,25937,2647,1374,1993,2311,3881,5665,3468,4598,9546,0,0,754,1511,2494,1943,433,1488,2265,1574.0,795412,Baixo
75,18517,1602,664,945,1008,2788,4135,2822,4553,6923,1641,1273,1913,1108,815,361,0,289,5935,17984.0,1491476,Alto
76,25549,3007,1320,1827,1992,4168,5526,3316,4393,9694,0,83,1325,1481,2649,2172,377,875,2889,1943.0,795430,Médio
77,33122,2706,1327,1912,2154,4899,7302,4921,7901,12201,809,1824,4160,2202,1529,798,265,393,8995,6499.0,1448872,Alto
78,13431,1379,713,929,847,2044,3325,1837,2357,5369,0,265,1278,1163,983,575,78,313,2706,3039.0,959473,Médio
79,842,61,29,35,46,131,192,132,216,323,79,59,57,33,7,8,0,20,228,17659.0,1162364,Médio
80,21795,1794,708,1054,1252,2943,4812,3594,5638,7755,2916,2140,1931,697,365,306,0,469,7684,63887.0,1775547,Alto
81,46839,3463,1529,2340,2814,7145,9917,6877,12754,17062,2423,3297,5831,3467,3029,1180,118,557,15018,8980.0,1762798,Alto
82,47342,3134,1380,2131,2390,6177,9519,7181,15430,15696,5423,3532,5342,1863,1890,917,217,1595,16160,14738.0,2119774,Alto
83,15216,1100,570,739,961,2391,2917,2080,4458,5308,815,1106,1298,1009,1021,615,95,650,4228,8861.0,1184553,Alto
84,38547,4302,2053,2704,2720,5787,8563,4990,7428,14350,0,290,2064,2382,2922,2114,380,2855,4736,2038.0,932622,Alto
85,51520,5608,2812,3753,3907,7548,10437,7068,10387,17985,0,110,1747,4124,5487,3566,834,2032,5981,1848.0,835847,Alto
86,25119,3040,1460,2044,2038,3741,5282,3311,4203,9023,0,63,393,1766,2544,2230,357,1226,2222,1550.0,754735,Baixo
87,18340,3282,1427,1664,1680,2925,3483,1893,1986,6408,0,0,99,475,1268,1837,380,1329,574,1045.0,711591,Baixo
88,37180,6837,3025,3364,3342,6766,7832,3256,2758,14598,0,0,117,861,3179,4128,975,2007,978,1039.0,404476,Baixo
89,25969,1696,843,1370,1921,4020,5134,4124,6861,9154,739,1695,3191,1924,1522,877,0,497,7549,1535.0,1384873,Baixo
90,133432,22021,9536,12193,12618,24528,29204,11868,11464,53732,0,0,640,4262,12818,15295,2977,8274,4902,1107.0,24651,Médio
91,49419,5878,2837,3799,3699,7139,10280,6634,9153,17419,0,117,1515,2985,4678,4447,931,2281,4617,1675.0,726430,Alto
92,8198,782,364,479,514,1292,1720,1171,1876,3012,0,102,603,721,842,476,41,206,1426,2612.0,905395,Baixo
93,51234,3371,1719,2751,3246,6801,9850,8170,15326,16651,510,1873,5463,5089,3911,1570,131,1356,12935,4671.0,1626856,Alto
94,6381,455,248,327,391,1005,1345,932,1678,2350,0,245,828,645,419,162,30,84,1718,3669.0,978197,Médio
95,59136,6058,2939,3925,4016,8517,12453,7775,13453,20970,0,423,2819,4396,6318,4145,697,2226,7638,2104.0,860621,Alto
96,35000,3420,1904,2477,2462,4867,7325,5027,7518,12192,0,179,1446,2409,3848,2543,413,1635,4034,1952.0,858291,Médio
97,97298,14810,7157,8957,7881,15238,20462,10862,11931,35700,0,0,951,4010,8613,9091,1902,5853,4961,1241.0,167586,Médio
98,66040,8181,3877,5208,4835,9800,13956,8811,11372,23756,0,83,1748,4125,6651,5842,1199,2785,5956,1602.0,629794,Alto
99,3270,369,158,229,195,389,566,492,872,955,0,10,115,244,380,329,65,108,369,1696.0,854818,Baixo
100,24598,3461,1605,2363,2498,4000,4785,2400,3486,8785,0,0,209,686,1981,2763,420,1582,895,1113.0,630075,Baixo
101,26951,3177,1552,2074,1876,4033,5963,3335,4941,9996,0,0,681,1789,3055,2100,243,1125,2470,1679.0,744303,Médio
102,9462,1318,672,871,707,1396,2169,1012,1317,3565,0,0,143,511,1022,651,195,592,654,1374.0,789315,Baixo
103,100006,14409,6774,8267,7615,15427,21319,11714,14481,36746,0,0,1786,4785,10037,8612,1998,5707,6571,1384.0,258464,Médio
104,35689,3614,1675,2290,2363,5930,8039,5077,6701,13969,0,755,3512,3130,2895,1541,144,1249,7397,3089.0,1121587,Alto
105,9666,1139,535,715,690,1415,2068,1284,1820,3483,0,0,231,662,876,783,150,532,893,1522.0,832018,Baixo
106,80900,9269,4616,7545,8520,12940,15618,9160,13232,28558,0,239,2129,4629,7639,6086,1082,3563,6997,1682.0,593191,Alto
107,49165,5348,2662,4045,3936,7353,9601,6349,9871,16954,0,348,1893,3750,3988,3411,459,2662,5991,2005.0,908998,Alto
108,44603,4657,2192,3121,3246,6454,9487,6121,9325,15941,0,95,2107,3222,4470,3969,500,1412,5424,1944.0,808082,Alto
109,28018,3008,1476,1999,1993,4011,5830,3820,5881,9841,0,0,913,1659,2729,1997,456,2074,2572,1535.0,826523,Baixo
110,12088,1513,697,945,900,1838,2663,1520,2012,4501,0,93,330,564,1076,1049,185,858,987,1688.0,810599,Baixo
111,24529,2372,1165,1547,1837,3883,5036,3204,5485,8919,0,330,1650,2109,2156,1471,287,805,4089,2511.0,950834,Médio
112,8908,643,321,501,593,1340,1884,1281,2345,3224,124,298,939,892,628,537,75,140,2253,5324.0,1005886,Médio
113,65958,8037,3784,5024,4694,10060,13880,8260,12219,23940,0,484,3359,4409,6273,4442,780,2418,8252,2162.0,848230,Alto
114,6116,622,276,356,407,1129,1360,761,1205,2489,0,85,452,639,629,244,38,177,1176,2699.0,893640,Baixo
115,32064,3322,1700,2162,2310,4733,6797,4385,6655,11530,0,264,1151,2315,3451,2773,331,910,3730,2038.0,806166,Médio
116,41943,4289,2161,2900,2956,6495,9223,5495,8424,15718,0,238,1799,3163,5001,3269,272,1167,5200,2053.0,766893,Alto
117,185206,23513,11337,14883,14252,27747,39378,23702,30394,67125,0,242,4551,11214,18442,16361,3661,8364,16007,1576.0,89769,Alto
118,84538,10102,4229,5804,6423,14960,20404,10651,11965,35364,2815,4307,7544,4011,4747,3339,800,2484,18677,8407.0,1596252,Alto
119,13009,1094,515,760,882,1900,2707,1972,3179,4607,0,154,776,1407,1397,693,102,280,2337,2541.0,934074,Médio
120,3629,339,150,205,229,482,771,578,875,1253,0,117,374,315,290,112,23,109,806,3420.0,928239,Baixo
121,30137,3735,1842,2490,2251,4436,6721,3798,4864,11157,0,0,478,1561,2456,2588,401,2873,2039,1227.0,720444,Baixo
122,44998,5332,2397,3448,3757,7160,9375,5527,8002,16535,0,387,2119,2775,3715,3930,617,1681,5281,1535.0,789463,Baixo
123,9012,713,416,561,589,1293,2051,1317,2072,3344,0,109,663,950,891,388,85,232,1722,2667.0,922967,Médio
124,45436,5371,2604,3448,3367,6721,9449,6121,8355,16170,0,0,1004,3223,4767,3922,556,2297,4227,1570.0,710341,Médio
125,71315,11817,4576,6527,7855,14629,15004,5968,4939,29633,0,0,149,2298,6761,8969,1402,5242,2447,1037.0,59273,Médio
126,11203,1519,667,908,964,1839,2366,1224,1716,4205,0,49,290,615,877,1014,157,430,954,1751.0,806674,Baixo
127,223440,35572,16403,20998,18090,34697,46774,23878,27028,81471,0,0,2057,8310,18161,22160,4572,14833,10367,1188.0,43346,Médio
128,42081,4341,2130,2887,3499,7584,9814,5201,6625,17398,150,453,2290,2790,4882,3508,615,1565,5683,2287.0,703465,Alto
129,42629,5738,2720,3708,3296,6650,9887,5049,5581,16537,0,0,672,2287,4163,4281,722,1796,2959,1400.0,536367,Médio
130,12678,1629,728,962,1039,2114,2749,1554,1903,4863,0,0,121,537,1436,1208,193,823,658,1237.0,752007,Baixo
131,11290,885,500,661,726,1464,2463,1741,2850,3927,939,956,744,418,432,356,37,207,3057,17650.0,1330747,Médio
132,25371,2676,1260,1788,1956,3902,5406,3340,5043,9308,0,118,1207,1750,2853,1811,335,1040,3075,1946.0,828172,Médio
133,8578,972,502,613,758,1417,1764,1092,1460,3181,0,92,480,701,666,581,131,358,1273,2317.0,878830,Baixo
134,2827,281,153,160,251,574,590,343,475,1164,0,0,44,125,263,293,53,225,169,1222.0,828677,Baixo
135,108492,15597,7178,9358,9024,16818,22481,12713,15323,39299,0,60,1679,4459,9656,10096,2173,7987,6198,1287.0,197681,Médio
136,31463,4094,2048,2746,2405,4951,6955,3854,4410,11906,0,0,602,2028,2988,2803,502,1499,2630,1513.0,689701,Baixo
137,58172,9222,4258,5189,4395,8075,11859,6616,8558,19934,0,0,423,2186,4931,5847,1133,4395,2609,1139.0,450723,Médio
138,38925,4782,2256,2951,2968,6188,8480,4953,6347,14668,0,106,1771,2493,3803,2937,720,1490,4370,1897.0,778067,Médio
139,105009,11084,5474,7981,8028,16085,23292,14297,18768,39377,142,899,6441,7581,9678,6934,1111,3111,15063,2986.0,1014058,Alto
140,30403,4008,1783,2398,2442,4930,6505,3601,4736,11435,0,138,1081,1651,2673,2467,436,1962,2870,1704.0,752629,Médio
141,168267,13033,6405,9750,10968,23657,33313,23892,47249,56970,4351,8306,19076,11631,10755,6539,1280,3723,43364,7844.0,2157079,Alto
142,25341,1998,1039,1454,1589,3636,5685,3910,6030,9321,0,1057,2976,2350,1956,772,0,212,6383,4001.0,1200769,Alto
143,23316,3089,1393,1852,1791,3737,4931,2746,3777,8668,0,0,632,1434,2324,2303,305,1014,2066,1567.0,722040,Baixo
144,17734,2453,1087,1465,1409,2620,3713,2231,2756,6333,0,0,502,1155,1667,1481,238,770,1657,1652.0,798206,Baixo
145,7260,649,340,471,499,892,1896,915,1598,2788,417,592,862,329,224,156,0,125,2200,10573.0,1126244,Médio
146,14436,2125,1003,1262,1149,2492,3250,1599,1556,5742,14,115,501,499,1288,1335,273,711,1129,1884.0,768425,Baixo
147,28018,4547,2026,2703,2602,5010,6512,2431,2187,11522,31,160,693,911,2588,2895,497,1154,1795,1740.0,560631,Médio
148,15908,1909,878,1182,1320,2667,3381,1885,2686,6048,0,32,467,846,1612,1474,302,935,1345,1550.0,767430,Baixo
149,15595,1908,888,1149,1260,2534,3300,1939,2617,5834,0,0,451,892,1410,1345,259,839,1343,1580.0,797801,Baixo
150,25668,3363,1615,2107,1847,3933,5318,3119,4366,9251,0,137,576,1399,2210,2482,637,1362,2112,1598.0,738591,Baixo
151,13158,1907,904,1139,1165,2245,2948,1417,1433,5193,18,47,124,367,1386,1647,149,827,556,1495.0,700834,Baixo
152,43000,6229,3049,4189,3789,6424,8806,4738,5776,15230,0,0,725,1429,3097,3726,933,3497,2154,1184.0,623144,Baixo
153,26183,2152,992,1456,1665,3678,5542,4096,6602,9220,0,520,2449,2388,2333,1236,189,631,5357,2989.0,1100481,Alto
154,88426,8117,4021,5750,6128,13459,18234,12029,20688,31693,1417,2352,7949,6209,6402,5244,966,2441,17927,5118.0,1528242,Alto
155,18791,1802,921,1442,1462,2500,3944,2920,3800,6444,0,259,774,1363,1923,1379,190,405,2396,2316.0,901446,Médio
156,13556,1888,787,1042,982,2542,2908,1528,1879,5450,0,219,714,828,1051,1012,116,465,1761,2416.0,849731,Médio
157,33190,3166,1619,2255,2326,4752,7183,4950,6939,11935,0,906,2866,2241,2982,1200,360,772,6013,3189.0,1127042,Alto
158,8867,724,387,580,565,1205,1812,1474,2120,3017,0,87,556,836,940,484,75,214,1479,2418.0,921875,Baixo
159,2072,175,74,120,121,318,417,314,533,735,0,89,234,177,147,72,10,47,500,3791.0,919451,Baixo
